a2262915.360365
LAquila  29/06/2022 15:35:30 29/06/2022 15:36:03 0000 0000.000000 0000.000000 00.0 00.0
0001000 0010 0000000 0010 06 0000000 0010 0000000 0010
1 1 1 16380 1 0900 3.75 00532.o 0 0 00 000 00 001000 3.1746 BC0 "green"
1 3 1 02000 1 0900 3.75 00532.o 0 0 00 000 00 001000 3.1746 S2P0 "green"
1 0 1 16380 2 0900 3.75 01064.p 0 0 02 000 12 001000 0.500 BT1 "IR"
1 2 1 02000 2 0900 3.75 01064.p 0 0 02 000 12 001000 0.500 S2A1 "IR"
1 1 1 16380 2 0900 3.75 00355.s 0 0 00 000 00 001000 3.1746 BC1 "UV"
1 3 1 02000 2 0900 3.75 00355.s 0 0 00 000 00 001000 3.1746 S2P1 "UV"
532.000 .o Photon Counting 0 	532.000 .o PC StDev 0 	1064.000 .p Analog 1 	1064.000 .p Analog StDev 1 	355.000 .s Photon Counting 1 	355.000 .s PC StDev 1 
0.04	0.0404974	1.02466	0.0112349	0.04	0.0404974
0.04	0.0404974	1.03126	0.0112697	0.04	0.0404974
0	0	1.01148	0.0111616	0.04	0.0404974
0	0	1.02198	0.0112195	0.04	0.0404974
0	0	0.993651	0.0110612	0	0
0.04	0.0404974	1.01587	0.0111847	0.04	0.0404974
0.04	0.0404974	0.978388	0.0109762	0	0
0.04	0.0404974	0.972405	0.0109414	0	0
0.04	0.0404974	1.01978	0.0112079	0.04	0.0404974
0.04	0.0404974	1.02344	0.0112272	0.04	0.0404974
0.04	0.0404974	0.97265	0.0109453	0	0
0	0	0.985348	0.0110148	0	0
0.04	0.0404974	1.00244	0.0111114	0.04	0.0404974
0	0	0.976313	0.0109646	0	0
0	0	0.98254	0.0109994	0	0
0.04	0.0404974	0.980708	0.0109916	0	0
0.04	0.0404974	0.985836	0.0110187	0	0
0	0	0.969841	0.010926	0	0
0.04	0.0404974	0.97033	0.0109298	0	0
0.04	0.0404974	1.01245	0.0111654	0.04	0.0404974
0	0	0.969597	0.010926	0	0
0.04	0.0404974	0.980952	0.0109916	0	0
0.04	0.0404974	1.01111	0.0111616	0.04	0.0404974
0	0	0.980708	0.0109916	0	0
0	0	0.98315	0.0110032	0	0
0	0	0.975458	0.0109607	0	0
0.04	0.0404974	1.01856	0.0112002	0.04	0.0404974
0	0	0.985348	0.0110148	0	0
0.04	0.0404974	1.02894	0.0112581	0.04	0.0404974
0.04	0.0404974	1.03138	0.0112736	0.04	0.0404974
0.04	0.0404974	0.994139	0.011065	0	0
0	0	0.995604	0.0110727	0.04	0.0404974
0	0	0.97619	0.0109646	0	0
0.04	0.0404974	0.978022	0.0109723	0	0
0	0	0.977411	0.0109723	0	0
0	0	1.02784	0.0112543	0.04	0.0404974
0	0	1.01929	0.0112041	0.04	0.0404974
0	0	0.984249	0.0110109	0	0
0	0	1.02796	0.0112543	0.04	0.0404974
0	0	1.0094	0.01115	0.04	0.0404974
0.04	0.0404974	1.00708	0.0111384	0.04	0.0404974
0.04	0.0404974	1.01612	0.0111886	0.04	0.0404974
0.04	0.0404974	1.0232	0.0112272	0.04	0.0404974
0.04	0.0404974	1.01465	0.0111809	0.04	0.0404974
0.04	0.0404974	1.02173	0.0112195	0.04	0.0404974
0.04	0.0404974	0.987057	0.0110264	0	0
0	0	1.00842	0.0111461	0.04	0.0404974
0.04	0.0404974	1.01416	0.011177	0.04	0.0404974
0	0	0.996581	0.0110805	0.04	0.0404974
0.04	0.0404974	0.973382	0.0109491	0	0
0.04	0.0404974	0.972894	0.0109453	0	0
0.04	0.0404974	0.976068	0.0109646	0	0
0	0	0.981685	0.0109955	0	0
0.04	0.0404974	1.02613	0.0112427	0.04	0.0404974
0.04	0.0404974	0.998413	0.0110882	0.04	0.0404974
0.04	0.0404974	1.01245	0.0111654	0.04	0.0404974
0	0	1.02686	0.0112465	0.04	0.0404974
0	0	1.00806	0.0111423	0.04	0.0404974
0.04	0.0404974	0.975336	0.0109607	0	0
0	0	0.983639	0.0110071	0	0
0	0	1.0304	0.0112658	0.04	0.0404974
0.04	0.0404974	1.00891	0.0111461	0.04	0.0404974
0.04	0.0404974	1.00488	0.0111268	0.04	0.0404974
0	0	1.00916	0.01115	0.04	0.0404974
0.04	0.0404974	0.976923	0.0109685	0	0
0	0	0.988034	0.0110303	0	0
0.04	0.0404974	0.99243	0.0110573	0	0
0	0	0.978144	0.0109762	0	0
0	0	1.01197	0.0111654	0.04	0.0404974
0.04	0.0404974	0.998535	0.0110882	0.04	0.0404974
0.04	0.0404974	0.975824	0.0109607	0	0
0.04	0.0404974	1.02869	0.0112581	0.04	0.0404974
0.04	0.0404974	0.974237	0.010953	0	0
0	0	0.980708	0.0109916	0	0
0.04	0.0404974	0.988523	0.0110341	0	0
0	0	0.99011	0.0110418	0	0
0.04	0.0404974	0.985714	0.0110187	0	0
0	0	1.0022	0.0111114	0.04	0.0404974
0	0	1.01209	0.0111654	0.04	0.0404974
0	0	1.00269	0.0111114	0.04	0.0404974
0.04	0.0404974	0.998291	0.0110882	0.04	0.0404974
0	0	1.01197	0.0111654	0.04	0.0404974
0.04	0.0404974	1.03053	0.0112658	0.04	0.0404974
0	0	1.0304	0.0112658	0.04	0.0404974
0	0	1.00488	0.0111268	0.04	0.0404974
0.04	0.0404974	0.986325	0.0110225	0	0
0	0	0.991941	0.0110534	0	0
0.04	0.0404974	0.996337	0.0110766	0.04	0.0404974
0.04	0.0404974	1.02308	0.0112272	0.04	0.0404974
0	0	0.978388	0.0109762	0	0
0	0	1.00391	0.0111191	0.04	0.0404974
0.04	0.0404974	1.01258	0.0111693	0.04	0.0404974
0.04	0.0404974	1.01551	0.0111847	0.04	0.0404974
0.04	0.0404974	0.990965	0.0110457	0	0
0.04	0.0404974	1.0105	0.0111577	0.04	0.0404974
0	0	1.02063	0.0112118	0.04	0.0404974
0.04	0.0404974	1.02527	0.0112388	0.04	0.0404974
0	0	1.00769	0.0111423	0.04	0.0404974
0.04	0.0404974	0.998168	0.0110882	0.04	0.0404974
0.04	0.0404974	0.998291	0.0110882	0.04	0.0404974
0	0	1.03138	0.0112736	0.04	0.0404974
0	0	1.01429	0.011177	0.04	0.0404974
0.04	0.0404974	0.979487	0.0109839	0	0
0	0	1.01807	0.0112002	0.04	0.0404974
0	0	1.01807	0.0112002	0.04	0.0404974
0	0	0.985592	0.0110187	0	0
0.04	0.0404974	1.00549	0.0111268	0.04	0.0404974
0.04	0.0404974	1.0149	0.0111809	0.04	0.0404974
0.04	0.0404974	0.997558	0.0110843	0.04	0.0404974
0.04	0.0404974	0.996703	0.0110805	0.04	0.0404974
0	0	0.984127	0.0110109	0	0
0	0	1.02735	0.0112504	0.04	0.0404974
0.04	0.0404974	1.02186	0.0112195	0.04	0.0404974
0.04	0.0404974	1.02503	0.0112388	0.04	0.0404974
0	0	1.01441	0.011177	0.04	0.0404974
0.04	0.0404974	0.972894	0.0109453	0	0
0.04	0.0404974	0.985714	0.0110187	0	0
0	0	1.02344	0.0112272	0.04	0.0404974
0	0	1.00842	0.0111461	0.04	0.0404974
0.04	0.0404974	0.989011	0.011038	0	0
0.04	0.0404974	0.991575	0.0110496	0	0
0	0	1.02369	0.0112311	0.04	0.0404974
0	0	0.981685	0.0109955	0	0
0.04	0.0404974	0.982295	0.0109994	0	0
0.04	0.0404974	0.986447	0.0110225	0	0
0.04	0.0404974	0.994383	0.011065	0	0
0.04	0.0404974	1.00232	0.0111114	0.04	0.0404974
0.04	0.0404974	0.979487	0.0109839	0	0
0	0	1.0315	0.0112736	0.04	0.0404974
0	0	0.994505	0.011065	0	0
0	0	0.974359	0.010953	0	0
0.04	0.0404974	0.97094	0.0109337	0	0
0.04	0.0404974	0.9779	0.0109723	0	0
0	0	1.02552	0.0112388	0.04	0.0404974
0	0	0.988645	0.0110341	0	0
0.04	0.0404974	0.983516	0.0110071	0	0
0	0	1.02576	0.0112427	0.04	0.0404974
0.04	0.0404974	1.02747	0.0112504	0.04	0.0404974
0	0	1.00781	0.0111423	0.04	0.0404974
0	0	0.971184	0.0109337	0	0
0	0	0.984982	0.0110148	0	0
0.04	0.0404974	0.997314	0.0110843	0.04	0.0404974
0.04	0.0404974	0.975092	0.0109569	0	0
0.04	0.0404974	0.974603	0.010953	0	0
0.04	0.0404974	1.02979	0.011262	0.04	0.0404974
0.04	0.0404974	0.99475	0.0110689	0	0
0.04	0.0404974	0.986203	0.0110187	0	0
0.04	0.0404974	1.01563	0.0111847	0.04	0.0404974
0.04	0.0404974	1.01111	0.0111616	0.04	0.0404974
0.04	0.0404974	0.991819	0.0110534	0	0
0	0	1.02283	0.0112234	0.04	0.0404974
0.04	0.0404974	0.996337	0.0110766	0.04	0.0404974
0	0	0.974969	0.0109569	0	0
0.04	0.0404974	1.02662	0.0112465	0.04	0.0404974
0.04	0.0404974	1.02882	0.0112581	0.04	0.0404974
0	0	1.016	0.0111886	0.04	0.0404974
0	0	1.02466	0.0112349	0.04	0.0404974
0	0	1.03114	0.0112697	0.04	0.0404974
0	0	1.01758	0.0111963	0.04	0.0404974
0.04	0.0404974	1.01465	0.0111809	0.04	0.0404974
0	0	0.985714	0.0110187	0	0
0.04	0.0404974	0.973626	0.0109491	0	0
0.04	0.0404974	1.01368	0.0111732	0.04	0.0404974
0	0	0.988156	0.0110303	0	0
12.4	0.704908	1.11844	0.0117409	13.44	0.734016
31.08	1.11621	1.33639	0.0128455	29.6	1.08837
53.76	1.46677	1.76508	0.0147881	58.24	1.52751
69.28	1.66546	2.11319	0.0162055	70.76	1.68317
85.56	1.85023	2.49377	0.0176306	82.76	1.81985
95.68	1.9578	3.14383	0.0198475	97.28	1.97425
104.12	2.04259	3.54078	0.0210988	103.24	2.03373
107.92	2.07802	3.963	0.0223579	108.28	2.08182
113.76	2.13371	4.74335	0.0245361	115.8	2.15269
117.92	2.17294	5.09707	0.0254708	118.16	2.17547
120.36	2.19572	5.75983	0.0271469	122.44	2.2147
124.84	2.23622	6.25751	0.0283481	125.04	2.23748
128.12	2.26532	6.87937	0.0297964	127.6	2.26026
129.52	2.27798	7.39463	0.030955	129.52	2.27798
131.8	2.29696	7.64188	0.0314957	130.32	2.28431
132.28	2.30076	8.44371	0.0332105	132.8	2.30582
133.88	2.31468	9.01551	0.0343923	134.2	2.31848
135.64	2.32987	9.36203	0.0350913	134.92	2.3248
136	2.33366	10.0636	0.0364817	136.4	2.33746
137.36	2.34505	10.5796	0.0374781	137.28	2.34505
138.2	2.35265	11.3488	0.0389264	138.52	2.35518
139.2	2.36024	11.8873	0.0399229	139.32	2.36151
139.32	2.36151	11.8446	0.0398418	139.28	2.36151
139.96	2.36783	12.7234	0.0414291	140.4	2.37036
141.16	2.37796	12.868	0.0416879	140.56	2.37289
141.56	2.38049	13.5026	0.042804	141.28	2.37796
141.88	2.38302	13.644	0.0430473	141.44	2.37922
142.28	2.38682	14.3551	0.0442716	142.12	2.38555
142.44	2.38808	15.269	0.0458126	142.92	2.39188
143.12	2.39441	15.542	0.0462645	143.16	2.39441
143.04	2.39314	16.1891	0.0473304	143.68	2.39821
143.52	2.39694	15.7607	0.0466275	143.36	2.39567
144.16	2.402	16.6475	0.0480758	144	2.40074
144.16	2.402	16.5785	0.0479638	143.96	2.40074
144.56	2.4058	17.0717	0.0487594	144.28	2.40327
145	2.4096	17.3678	0.0492306	144.48	2.4058
144.88	2.40833	17.9464	0.0501498	144.84	2.40833
145.2	2.41086	17.9967	0.050227	144.88	2.40833
145.4	2.41339	18.8508	0.0515633	145.4	2.41339
145.48	2.41339	19.264	0.0522006	145.6	2.41466
145.44	2.41339	19.2337	0.0521543	145.6	2.41466
145.96	2.41719	19.9673	0.0532781	145.96	2.41719
146.12	2.41845	19.7565	0.0529576	145.88	2.41719
146.28	2.41972	20.1895	0.0536141	146.08	2.41845
146.28	2.41972	20.7459	0.0544561	146.36	2.42099
146.44	2.42099	20.4685	0.054039	146.2	2.41972
146.72	2.42352	21.0286	0.0548809	146.48	2.42225
146.6	2.42225	21.9501	0.0562481	146.88	2.42478
146.92	2.42605	21.8796	0.0561438	146.84	2.42478
146.76	2.42478	22.1668	0.0565687	146.96	2.42605
147.16	2.42731	22.0409	0.0563833	146.88	2.42478
147.04	2.42605	22.9799	0.0577582	147.28	2.42858
147.2	2.42731	22.5042	0.057063	147.08	2.42605
147.08	2.42605	22.7278	0.0573913	147.2	2.42731
147.52	2.42984	23.4181	0.0583955	147.44	2.42984
147.36	2.42858	23.233	0.058129	147.36	2.42858
147.4	2.42984	23.8366	0.0590018	147.6	2.43111
147.4	2.42984	23.568	0.0586117	147.48	2.42984
147.76	2.43238	24.0114	0.0592529	147.64	2.43111
147.8	2.43238	23.6186	0.0586851	147.52	2.42984
147.52	2.42984	24.1324	0.0594267	147.68	2.43111
147.64	2.43111	24.8534	0.060454	147.92	2.43364
147.72	2.43238	25.0033	0.0606664	147.96	2.43364
147.88	2.43364	24.9225	0.0605544	147.96	2.43364
148.08	2.43491	24.7153	0.060257	147.88	2.43364
147.96	2.43364	24.3938	0.0598013	147.76	2.43238
147.88	2.43364	25.1634	0.0608943	148	2.43491
147.84	2.43238	25.4277	0.0612689	148.12	2.43491
148	2.43491	25.2513	0.0610179	148.04	2.43491
148.24	2.43617	25.919	0.0619602	148.28	2.43617
148.08	2.43491	25.1761	0.0609136	148.04	2.43491
148.24	2.43617	25.1751	0.0609097	148.04	2.43491
148.2	2.43617	25.7799	0.0617671	148.2	2.43617
148.24	2.43617	25.3021	0.0610912	148.08	2.43491
148.16	2.43617	26.1984	0.0623541	148.36	2.43744
148.28	2.43617	25.6398	0.0615663	148.16	2.43617
148.36	2.43744	25.7129	0.0616706	148.2	2.43617
148.24	2.43617	25.6333	0.0615586	148.16	2.43617
148.2	2.43617	26.3057	0.0625048	148.36	2.43744
148.24	2.43617	25.8392	0.0618482	148.2	2.43617
148.36	2.43744	26.7545	0.0631304	148.48	2.4387
148.36	2.43744	26.7598	0.0631382	148.48	2.4387
148.32	2.43744	26.8984	0.0633313	148.52	2.4387
148.4	2.43744	26.8586	0.0632733	148.52	2.4387
148.6	2.4387	26.0048	0.0620799	148.28	2.43617
148.4	2.43744	26.4971	0.0627713	148.44	2.4387
148.48	2.4387	26.7212	0.0630841	148.48	2.4387
148.36	2.43744	26.8145	0.0632115	148.52	2.4387
148.36	2.43744	26.2308	0.0623966	148.36	2.43744
148.56	2.4387	26.5689	0.0628717	148.44	2.4387
148.4	2.43744	26.6716	0.0630146	148.48	2.4387
148.48	2.4387	27.2372	0.0637986	148.6	2.4387
148.64	2.43997	27.0698	0.0635669	148.6	2.4387
148.4	2.43744	27.0136	0.0634896	148.56	2.4387
148.52	2.4387	26.8841	0.0633081	148.56	2.4387
148.6	2.4387	26.7574	0.0631343	148.52	2.4387
148.48	2.4387	26.8485	0.0632618	148.52	2.4387
148.48	2.4387	27.0971	0.0636055	148.56	2.4387
