a2262915.363722
LAquila  29/06/2022 15:36:04 29/06/2022 15:36:37 0000 0000.000000 0000.000000 00.0 00.0
0001000 0010 0000000 0010 06 0000000 0010 0000000 0010
1 1 1 16380 1 0900 3.75 00532.o 0 0 00 000 00 001000 3.1746 BC0 "green"
1 3 1 02000 1 0900 3.75 00532.o 0 0 00 000 00 001000 3.1746 S2P0 "green"
1 0 1 16380 2 0900 3.75 01064.p 0 0 02 000 12 001000 0.500 BT1 "IR"
1 2 1 02000 2 0900 3.75 01064.p 0 0 02 000 12 001000 0.500 S2A1 "IR"
1 1 1 16380 2 0900 3.75 00355.s 0 0 00 000 00 001000 3.1746 BC1 "UV"
1 3 1 02000 2 0900 3.75 00355.s 0 0 00 000 00 001000 3.1746 S2P1 "UV"
532.000 .o Photon Counting 0 	532.000 .o PC StDev 0 	1064.000 .p Analog 1 	1064.000 .p Analog StDev 1 	355.000 .s Photon Counting 1 	355.000 .s PC StDev 1 
0	0	1.01074	0.0111577	0.04	0.0404974
0.04	0.0404974	1.00122	0.0111036	0.04	0.0404974
0	0	1.00208	0.0111075	0.04	0.0404974
0	0	0.993773	0.011065	0	0
0	0	1.02527	0.0112388	0.04	0.0404974
0.04	0.0404974	0.988645	0.0110341	0	0
0.04	0.0404974	0.970208	0.0109298	0	0
0.04	0.0404974	0.971917	0.0109414	0	0
0	0	1.00049	0.0110998	0.04	0.0404974
0.04	0.0404974	0.999023	0.011092	0.04	0.0404974
0.04	0.0404974	1.02882	0.0112581	0.04	0.0404974
0	0	0.993407	0.0110612	0	0
0	0	0.994872	0.0110689	0.04	0.0404974
0	0	1.00647	0.0111345	0.04	0.0404974
0.04	0.0404974	0.990354	0.0110418	0	0
0	0	0.976557	0.0109646	0	0
0.04	0.0404974	1.02943	0.011262	0.04	0.0404974
0.04	0.0404974	1.0044	0.0111229	0.04	0.0404974
0.04	0.0404974	0.977778	0.0109723	0	0
0.04	0.0404974	0.989255	0.011038	0	0
0.04	0.0404974	0.971917	0.0109414	0	0
0.04	0.0404974	0.972039	0.0109414	0	0
0.04	0.0404974	1.01954	0.0112079	0.04	0.0404974
0.04	0.0404974	0.994505	0.011065	0	0
0	0	0.971062	0.0109337	0	0
0.04	0.0404974	1.03138	0.0112736	0.04	0.0404974
