a2262915.371660
LAquila  29/06/2022 15:37:11 29/06/2022 15:37:16 0000 0000.000000 0000.000000 00.0 00.0
0000166 0010 0000000 0010 06 0000000 0010 0000000 0010
1 1 1 16380 1 0900 3.75 00532.o 0 0 00 000 00 000166 3.1746 BC0 "green"
1 3 1 02000 1 0900 3.75 00532.o 0 0 00 000 00 000166 3.1746 S2P0 "green"
1 0 1 16380 2 0900 3.75 01064.p 0 0 02 000 12 000166 0.500 BT1 "IR"
1 2 1 02000 2 0900 3.75 01064.p 0 0 02 000 12 000166 0.500 S2A1 "IR"
1 1 1 16380 2 0900 3.75 00355.s 0 0 00 000 00 000166 3.1746 BC1 "UV"
1 3 1 02000 2 0900 3.75 00355.s 0 0 00 000 00 000166 3.1746 S2P1 "UV"
532.000 .o Photon Counting 0 	532.000 .o PC StDev 0 	1064.000 .p Analog 1 	1064.000 .p Analog StDev 1 	355.000 .s Photon Counting 1 	355.000 .s PC StDev 1 
0.240964	0.243867	1.02314	0.0282232	0.240964	0.243867
0	0	0.984892	0.0276508	0	0
0	0	1.00696	0.0279943	0.240964	0.243867
0.240964	0.243867	1.06433	0.0287957	0.240964	0.243867
0	0	0.954735	0.0271928	0	0
0.240964	0.243867	1.01946	0.028166	0.240964	0.243867
0	0	0.923842	0.0267348	0	0
0	0	1.00254	0.0278798	0.240964	0.243867
0.240964	0.243867	1.05109	0.028624	0.240964	0.243867
0.240964	0.243867	0.946644	0.0270783	0	0
0	0	0.94885	0.0270783	0	0
0	0	1.00622	0.027937	0.240964	0.243867
0	0	0.934139	0.0269065	0	0
0.240964	0.243867	0.958412	0.02725	0	0
0.240964	0.243867	0.951057	0.0271355	0	0
0	0	1.01211	0.0280515	0.240964	0.243867
0.240964	0.243867	1.03344	0.0283377	0.240964	0.243867
0	0	0.977537	0.0275363	0	0
0.240964	0.243867	1.05992	0.0287385	0.240964	0.243867
0	0	1.00549	0.027937	0.240964	0.243867
0	0	1.01873	0.028166	0.240964	0.243867
0.240964	0.243867	0.973123	0.027479	0	0
0	0	1.06139	0.0287385	0.240964	0.243867
0.240964	0.243867	0.956206	0.0271928	0	0
0.240964	0.243867	1.05183	0.028624	0.240964	0.243867
0	0	0.98857	0.027708	0.240964	0.243867
0.240964	0.243867	1.06727	0.028853	0.240964	0.243867
0.240964	0.243867	0.987834	0.027708	0.240964	0.243867
0.240964	0.243867	1.02167	0.028166	0.240964	0.243867
0.240964	0.243867	0.967239	0.0273645	0	0
0.240964	0.243867	1.05403	0.028624	0.240964	0.243867
0.240964	0.243867	1.06948	0.028853	0.240964	0.243867
0.240964	0.243867	1.043	0.0285095	0.240964	0.243867
0.240964	0.243867	1.06948	0.028853	0.240964	0.243867
0	0	0.996661	0.0278225	0.240964	0.243867
0.240964	0.243867	1.02829	0.0282805	0.240964	0.243867
0	0	1.01873	0.028166	0.240964	0.243867
0	0	0.960619	0.0273073	0	0
0.240964	0.243867	1.04521	0.0285095	0.240964	0.243867
0	0	1.05477	0.0286812	0.240964	0.243867
0.240964	0.243867	1.02902	0.0282805	0.240964	0.243867
0	0	0.992247	0.0277653	0.240964	0.243867
0	0	0.928255	0.026792	0	0
0.240964	0.243867	1.04153	0.0284522	0.240964	0.243867
0.240964	0.243867	1.07021	0.028853	0.240964	0.243867
0.240964	0.243867	0.934139	0.0269065	0	0
0.240964	0.243867	0.986363	0.0276508	0	0
0	0	0.941495	0.027021	0	0
0	0	1.02682	0.0282805	0.240964	0.243867
0	0	0.966503	0.0273645	0	0
0	0	0.991512	0.0277653	0.240964	0.243867
0.240964	0.243867	1.06433	0.0287957	0.240964	0.243867
0	0	1.0658	0.0287957	0.240964	0.243867
0.240964	0.243867	0.930462	0.0268493	0	0
0.240964	0.243867	1.00181	0.0278798	0.240964	0.243867
0	0	1.07169	0.0289102	0.240964	0.243867
0.240964	0.243867	0.982685	0.0275935	0	0
0.240964	0.243867	0.94885	0.0270783	0	0
12.7711	1.76335	1.00402	0.027937	9.15663	1.50072
37.3494	3.0202	1.34825	0.0326313	33.9759	2.87013
62.1687	3.88312	1.72632	0.0372112	53.253	3.58297
74.9398	4.2583	2.33167	0.0438519	79.0361	4.37085
75.9036	4.29581	2.55601	0.0461419	83.1325	4.4834
98.3133	4.87734	2.62736	0.0468861	87.4699	4.61472
97.1084	4.85858	3.24227	0.0527826	98.0723	4.87734
105.06	5.04617	3.59018	0.0559313	104.096	5.02741
118.072	5.34632	4.27645	0.0619423	111.807	5.215
116.627	5.3088	4.77588	0.0661214	115.904	5.3088
121.928	5.44011	5.72032	0.0736781	122.41	5.45887
124.337	5.49639	5.98953	0.0757963	124.096	5.47763
124.578	5.49639	6.78759	0.0819218	127.47	5.55267
127.952	5.57143	7.48194	0.0871314	129.88	5.60894
133.012	5.68398	7.8909	0.0901083	131.325	5.64646
134.217	5.70274	8.5882	0.0952034	133.253	5.68398
132.53	5.66522	8.31384	0.0931997	132.53	5.66522
136.867	5.75902	10.0777	0.105737	136.627	5.75902
137.349	5.77778	10.1483	0.106252	136.627	5.75902
135.663	5.74026	10.9353	0.111691	138.072	5.77778
137.108	5.75902	10.3057	0.10734	136.867	5.75902
138.554	5.79653	11.9526	0.118675	139.518	5.81529
140.241	5.83405	11.9754	0.118847	139.518	5.81529
140	5.81529	12.4542	0.12211	140.241	5.83405
140.964	5.85281	12.3417	0.121308	140	5.81529
142.41	5.87157	13.4979	0.129094	141.446	5.85281
142.41	5.87157	14.4188	0.135277	142.41	5.87157
143.133	5.89033	13.6289	0.13001	141.446	5.85281
142.169	5.87157	15.6553	0.143463	143.373	5.89033
143.855	5.90909	15.5207	0.142547	143.373	5.89033
143.373	5.89033	15.4133	0.14186	143.133	5.89033
144.337	5.90909	16.8005	0.150963	144.337	5.90909
144.337	5.90909	16.3526	0.148043	143.855	5.90909
144.337	5.90909	16.3173	0.147814	143.855	5.90909
145.06	5.92785	17.2352	0.153825	144.578	5.92785
144.337	5.90909	18.3739	0.16121	145.301	5.92785
144.578	5.92785	18.1186	0.15955	145.06	5.92785
144.819	5.92785	19.1477	0.166191	145.783	5.94661
145.301	5.92785	19.1293	0.166076	145.542	5.94661
145.06	5.92785	18.1436	0.159722	145.06	5.92785
146.024	5.94661	19.3779	0.167679	145.783	5.94661
145.783	5.94661	19.8898	0.171	146.024	5.94661
146.747	5.96537	20.4841	0.174778	146.265	5.96537
146.988	5.96537	20.1612	0.172717	146.024	5.94661
146.024	5.94661	19.5603	0.168881	145.783	5.94661
146.988	5.96537	21.0277	0.17827	146.506	5.96537
146.988	5.96537	21.8839	0.183766	146.988	5.96537
146.265	5.96537	20.9696	0.177927	146.506	5.96537
147.229	5.96537	21.2241	0.17953	146.747	5.96537
146.506	5.96537	21.0799	0.178614	146.747	5.96537
146.988	5.96537	23.3984	0.193384	147.711	5.98412
147.47	5.98412	21.6272	0.182106	146.747	5.96537
147.229	5.96537	21.6867	0.182506	146.988	5.96537
147.47	5.98412	23.2329	0.192353	147.47	5.98412
146.988	5.96537	22.2965	0.186399	146.988	5.96537
147.47	5.98412	23.3984	0.193384	147.47	5.98412
147.47	5.98412	23.4668	0.193842	147.47	5.98412
147.229	5.96537	24.6539	0.201341	147.952	5.98412
147.229	5.96537	24.5024	0.200425	147.711	5.98412
147.711	5.98412	24.4208	0.19991	147.952	5.98412
148.193	5.98412	23.7595	0.195674	147.711	5.98412
147.711	5.98412	24.7275	0.201856	148.193	5.98412
148.193	5.98412	25.5645	0.207123	148.193	5.98412
147.47	5.98412	24.0714	0.197677	147.711	5.98412
148.434	6.00288	23.6146	0.194758	147.711	5.98412
147.952	5.98412	24.8363	0.202543	147.952	5.98412
148.193	5.98412	24.4141	0.199853	147.952	5.98412
147.952	5.98412	25.9536	0.209585	148.434	6.00288
148.675	6.00288	24.537	0.200654	147.952	5.98412
148.434	6.00288	26.3398	0.212046	148.675	6.00288
148.675	6.00288	25.2379	0.205062	148.193	5.98412
148.434	6.00288	24.715	0.201742	147.952	5.98412
147.952	5.98412	25.9227	0.209413	148.434	6.00288
148.675	6.00288	26.0242	0.210043	148.434	6.00288
148.675	6.00288	25.6668	0.207753	148.434	6.00288
148.193	5.98412	24.9548	0.203287	147.952	5.98412
148.675	6.00288	27.1702	0.217256	148.675	6.00288
148.916	6.00288	26.5251	0.213191	148.434	6.00288
148.193	5.98412	25.1865	0.204719	148.193	5.98412
148.675	6.00288	25.922	0.209413	148.434	6.00288
148.434	6.00288	26.4251	0.212562	148.675	6.00288
148.675	6.00288	26.1441	0.210787	148.434	6.00288
148.193	5.98412	27.3195	0.218172	148.675	6.00288
148.675	6.00288	26.8797	0.215424	148.675	6.00288
148.193	5.98412	27.6218	0.220118	148.916	6.00288
148.434	6.00288	25.8315	0.208841	148.434	6.00288
148.675	6.00288	27.0724	0.216626	148.675	6.00288
148.193	5.98412	26.1728	0.210959	148.434	6.00288
148.675	6.00288	25.9066	0.209299	148.434	6.00288
