a2262915.371079
LAquila  29/06/2022 15:36:37 29/06/2022 15:37:10 0000 0000.000000 0000.000000 00.0 00.0
0001000 0010 0000000 0010 06 0000000 0010 0000000 0010
1 1 1 16380 1 0900 3.75 00532.o 0 0 00 000 00 001000 3.1746 BC0 "green"
1 3 1 02000 1 0900 3.75 00532.o 0 0 00 000 00 001000 3.1746 S2P0 "green"
1 0 1 16380 2 0900 3.75 01064.p 0 0 02 000 12 001000 0.500 BT1 "IR"
1 2 1 02000 2 0900 3.75 01064.p 0 0 02 000 12 001000 0.500 S2A1 "IR"
1 1 1 16380 2 0900 3.75 00355.s 0 0 00 000 00 001000 3.1746 BC1 "UV"
1 3 1 02000 2 0900 3.75 00355.s 0 0 00 000 00 001000 3.1746 S2P1 "UV"
532.000 .o Photon Counting 0 	532.000 .o PC StDev 0 	1064.000 .p Analog 1 	1064.000 .p Analog StDev 1 	355.000 .s Photon Counting 1 	355.000 .s PC StDev 1 
0.04	0.0404974	0.995849	0.0110766	0.04	0.0404974
0.04	0.0404974	1.00232	0.0111114	0.04	0.0404974
0.04	0.0404974	0.98315	0.0110032	0	0
0.04	0.0404974	1.02747	0.0112504	0.04	0.0404974
0.04	0.0404974	0.990232	0.0110418	0	0
0.04	0.0404974	1.0265	0.0112465	0.04	0.0404974
0	0	1.00647	0.0111345	0.04	0.0404974
0.04	0.0404974	1.02882	0.0112581	0.04	0.0404974
0.04	0.0404974	0.971551	0.0109376	0	0
0.04	0.0404974	1.01221	0.0111654	0.04	0.0404974
0	0	0.975336	0.0109607	0	0
0.04	0.0404974	0.99304	0.0110573	0	0
0	0	0.970818	0.0109337	0	0
0.04	0.0404974	0.991575	0.0110496	0	0
0	0	1.02784	0.0112543	0.04	0.0404974
0	0	1.00244	0.0111114	0.04	0.0404974
0.04	0.0404974	1.01954	0.0112079	0.04	0.0404974
0	0	0.973626	0.0109491	0	0
0.04	0.0404974	0.981441	0.0109916	0	0
0	0	0.984371	0.0110109	0	0
0.04	0.0404974	1.00916	0.01115	0.04	0.0404974
0.04	0.0404974	0.990232	0.0110418	0	0
0.04	0.0404974	1.01197	0.0111654	0.04	0.0404974
0.04	0.0404974	0.987302	0.0110264	0	0
0.04	0.0404974	1.01954	0.0112079	0.04	0.0404974
0.04	0.0404974	0.981563	0.0109955	0	0
0.04	0.0404974	1.01648	0.0111886	0.04	0.0404974
0.04	0.0404974	0.969353	0.010926	0	0
0.04	0.0404974	0.997314	0.0110843	0.04	0.0404974
0	0	0.984493	0.0110109	0	0
