a2262915.353007
LAquila  29/06/2022 15:34:56 29/06/2022 15:35:30 0000 0000.000000 0000.000000 00.0 00.0
0001000 0010 0000000 0010 06 0000000 0010 0000000 0010
1 1 1 16380 1 0900 3.75 00532.o 0 0 00 000 00 001000 3.1746 BC0 "green"
1 3 1 02000 1 0900 3.75 00532.o 0 0 00 000 00 001000 3.1746 S2P0 "green"
1 0 1 16380 2 0900 3.75 01064.p 0 0 02 000 12 001000 0.500 BT1 "IR"
1 2 1 02000 2 0900 3.75 01064.p 0 0 02 000 12 001000 0.500 S2A1 "IR"
1 1 1 16380 2 0900 3.75 00355.s 0 0 00 000 00 001000 3.1746 BC1 "UV"
1 3 1 02000 2 0900 3.75 00355.s 0 0 00 000 00 001000 3.1746 S2P1 "UV"
532.000 .o Photon Counting 0 	532.000 .o PC StDev 0 	1064.000 .p Analog 1 	1064.000 .p Analog StDev 1 	355.000 .s Photon Counting 1 	355.000 .s PC StDev 1 
0.04	0.0404974	1.021	0.0112156	0.04	0.0404974
0.04	0.0404974	1.00842	0.0111461	0.04	0.0404974
0.04	0.0404974	1.01441	0.011177	0.04	0.0404974
0.04	0.0404974	0.980708	0.0109916	0	0
0	0	0.980098	0.0109878	0	0
0	0	1.02637	0.0112465	0.04	0.0404974
0.04	0.0404974	1.02784	0.0112543	0.04	0.0404974
0.04	0.0404974	1.00037	0.0110998	0.04	0.0404974
0.04	0.0404974	1.02943	0.011262	0.04	0.0404974
0.04	0.0404974	1.00891	0.0111461	0.04	0.0404974
0.04	0.0404974	1.00281	0.0111152	0.04	0.0404974
0.04	0.0404974	0.978755	0.01098	0	0
0.04	0.0404974	0.977534	0.0109723	0	0
0.04	0.0404974	1.02357	0.0112272	0.04	0.0404974
0	0	0.986813	0.0110225	0	0
0.04	0.0404974	0.995726	0.0110727	0.04	0.0404974
0	0	0.969719	0.010926	0	0
0	0	0.970085	0.0109298	0	0
0.04	0.0404974	1.00379	0.0111191	0.04	0.0404974
0.04	0.0404974	1.03089	0.0112697	0.04	0.0404974
0.04	0.0404974	1.02625	0.0112427	0.04	0.0404974
0	0	1.00855	0.0111461	0.04	0.0404974
0.04	0.0404974	1.02161	0.0112195	0.04	0.0404974
0.04	0.0404974	0.992063	0.0110534	0	0
0	0	0.98486	0.0110109	0	0
0	0	0.973382	0.0109491	0	0
0.04	0.0404974	0.977167	0.0109685	0	0
0.04	0.0404974	1.02027	0.0112118	0.04	0.0404974
0.04	0.0404974	0.99072	0.0110457	0	0
0	0	1.00403	0.0111191	0.04	0.0404974
0	0	0.993407	0.0110612	0	0
0.04	0.0404974	1.01734	0.0111963	0.04	0.0404974
0	0	1.01636	0.0111886	0.04	0.0404974
0.04	0.0404974	1	0.0110959	0.04	0.0404974
0.04	0.0404974	0.997558	0.0110843	0.04	0.0404974
0	0	1.01026	0.0111538	0.04	0.0404974
0.04	0.0404974	1.03065	0.0112697	0.04	0.0404974
0.04	0.0404974	1.00464	0.0111229	0.04	0.0404974
0.04	0.0404974	0.993773	0.011065	0	0
0	0	1.01038	0.0111538	0.04	0.0404974
0	0	0.985958	0.0110187	0	0
