a2231016.121467
LAquila  10/03/2022 16:11:56 10/03/2022 16:12:14 0000 0000.000000 0000.000000 00.0 00.0
0002001 0100 0000000 0000 06 0000000 0000 0000000 0000
1 0 1 16380 0 0400 3.75 01064.o 0 0 01 000 16 002001 0.500 BT0 "IR-Channel"
1 2 1 02000 0 0400 3.75 01064.o 0 0 01 000 16 002001 0.500 S2A0 "IR-Channel"
1 1 1 16380 1 0850 3.75 00355.o 0 0 00 000 00 002001 3.1746 BC0 "AIR-UV"
1 3 1 02000 1 0850 3.75 00355.o 0 0 00 000 00 002001 3.1746 S2P0 "AIR-UV"
1 1 1 00010 0 0810 3.75 00387.o 0 0 00 000 00 002001 3.1746 BC1 "N2-UV"
1 1 1 00010 1 0900 0015 00386.p 0 0 00 000 00 002001 3.1746 BC2 "N2-UV"
1064.000 .o Analog 0 	1064.000 .o Analog StDev 0 	355.000 .o Photon Counting 0 	355.000 .o PC StDev 0 	387.000 .o Photon Counting 1 	386.000 .p Photon Counting 2 
5.52475	0.000662273	0	0	0	0
5.46391	0.000643005	0	0	0	0
5.47303	0.000645307	0	0	0	0
5.5076	0.00057659	0	0	0	0
5.48639	0.000620242	0	0	0	0
5.4873	0.000713853	0	0	0	0
5.50899	0.000830826	0	0	0	0
5.47286	0.00120954	0	0	0	0
5.4367	0.000894512	0	0	0	0
5.47852	0.000961439	0	0	0	0
5.49435	0.000729285	0	0	0	0
5.46651	0.000680774	0	0	0	0
5.47878	0.000720674	0	0	0	0
5.49879	0.000638998	0	0	0	0
5.48097	0.000697399	0	0	0	0
5.47139	0.000638572	0	0	0	0
5.48507	0.000625613	0	0	0	0
5.48676	0.000598757	0	0	0	0
5.48206	0.000591169	0	0	0	0
5.49177	0.000602167	0	0	0	0
5.48773	0.000607539	0	0	0	0
5.47731	0.000581962	0	0	0	0
5.48084	0.000596199	0	0	0	0
5.48783	0.00057139	0	0	0	0
5.47902	0.000583922	0	0	0	0
5.48208	0.000582644	0	0	0	0
5.4871	0.000581024	0	0	0	0
5.48207	0.000591937	0	0	0	0
5.48145	0.000569429	0	0	0	0
5.48022	0.000569514	0	0	0	0
5.47999	0.00057301	0	0	0	0
5.48155	0.000567724	0	0	0	0
5.48409	0.000569088	0	0	0	0
5.48207	0.000585457	0	0	0	0
5.48046	0.000581962	0	0	0	0
5.48142	0.000557152	0	0	0	0
5.48168	0.000584178	0	0	0	0
5.48206	0.000593045	0	0	0	0
5.48322	0.000583752	0	0	0	0
5.4829	0.000571731	0	0	0	0
5.48177	0.000571134	0	0	0	0
5.48143	0.000575397	0	0	0	0
5.48287	0.000582473	0	0	0	0
5.48144	0.000580512	0	0	0	0
5.48273	0.00057804	0	0	0	0
5.48309	0.000592192	0	0	0	0
5.48364	0.000572242	0	0	0	0
5.48314	0.000575397	0	0	0	0
